year,season,enso,index,month,period,assumed_available_at
1980,MAM,0.1,roni,4,1980-04-01,1980-06-05
1980,AMJ,0.3,roni,5,1980-05-01,1980-07-05
1980,MJJ,0.3,roni,6,1980-06-01,1980-08-05
1980,JJA,0.1,roni,7,1980-07-01,1980-09-05
1980,JAS,-0.1,roni,8,1980-08-01,1980-10-05
1980,ASO,-0.2,roni,9,1980-09-01,1980-11-05
1980,SON,-0.1,roni,10,1980-10-01,1980-12-05
1980,OND,0.1,roni,11,1980-11-01,1981-01-05
1980,NDJ,0.1,roni,12,1980-12-01,1981-02-05
1981,DJF,0.0,roni,1,1981-01-01,1981-03-05
1981,JFM,-0.2,roni,2,1981-02-01,1981-04-05
1981,FMA,-0.3,roni,3,1981-03-01,1981-05-05
1981,MAM,-0.2,roni,4,1981-04-01,1981-06-05
1981,AMJ,-0.3,roni,5,1981-05-01,1981-07-05
1981,MJJ,-0.3,roni,6,1981-06-01,1981-08-05
1981,JJA,-0.2,roni,7,1981-07-01,1981-09-05
1981,JAS,-0.2,roni,8,1981-08-01,1981-10-05
1981,ASO,0.0,roni,9,1981-09-01,1981-11-05
1981,SON,-0.2,roni,10,1981-10-01,1981-12-05
1981,OND,-0.2,roni,11,1981-11-01,1982-01-05
1981,NDJ,-0.1,roni,12,1981-12-01,1982-02-05
1982,DJF,0.1,roni,1,1982-01-01,1982-03-05
1982,JFM,0.2,roni,2,1982-02-01,1982-04-05
1982,FMA,0.2,roni,3,1982-03-01,1982-05-05
1982,MAM,0.5,roni,4,1982-04-01,1982-06-05
1982,AMJ,0.7,roni,5,1982-05-01,1982-07-05
1982,MJJ,0.8,roni,6,1982-06-01,1982-08-05
1982,JJA,0.9,roni,7,1982-07-01,1982-09-05
1982,JAS,1.1,roni,8,1982-08-01,1982-10-05
1982,ASO,1.6,roni,9,1982-09-01,1982-11-05
1982,SON,2.0,roni,10,1982-10-01,1982-12-05
1982,OND,2.2,roni,11,1982-11-01,1983-01-05
1982,NDJ,2.4,roni,12,1982-12-01,1983-02-05
1983,DJF,2.4,roni,1,1983-01-01,1983-03-05
1983,JFM,2.2,roni,2,1983-02-01,1983-04-05
1983,FMA,1.7,roni,3,1983-03-01,1983-05-05
1983,MAM,1.3,roni,4,1983-04-01,1983-06-05
1983,AMJ,0.9,roni,5,1983-05-01,1983-07-05
1983,MJJ,0.5,roni,6,1983-06-01,1983-08-05
1983,JJA,0.0,roni,7,1983-07-01,1983-09-05
1983,JAS,-0.2,roni,8,1983-08-01,1983-10-05
1983,ASO,-0.6,roni,9,1983-09-01,1983-11-05
1983,SON,-0.9,roni,10,1983-10-01,1983-12-05
1983,OND,-1.1,roni,11,1983-11-01,1984-01-05
1983,NDJ,-1.0,roni,12,1983-12-01,1984-02-05
1984,DJF,-0.6,roni,1,1984-01-01,1984-03-05
1984,JFM,-0.5,roni,2,1984-02-01,1984-04-05
1984,FMA,-0.5,roni,3,1984-03-01,1984-05-05
1984,MAM,-0.6,roni,4,1984-04-01,1984-06-05
1984,AMJ,-0.6,roni,5,1984-05-01,1984-07-05
1984,MJJ,-0.5,roni,6,1984-06-01,1984-08-05
1984,JJA,-0.3,roni,7,1984-07-01,1984-09-05
1984,JAS,-0.2,roni,8,1984-08-01,1984-10-05
1984,ASO,-0.3,roni,9,1984-09-01,1984-11-05
1984,SON,-0.6,roni,10,1984-10-01,1984-12-05
1984,OND,-0.9,roni,11,1984-11-01,1985-01-05
1984,NDJ,-0.9,roni,12,1984-12-01,1985-02-05
1985,DJF,-0.8,roni,1,1985-01-01,1985-03-05
1985,JFM,-0.7,roni,2,1985-02-01,1985-04-05
1985,FMA,-0.7,roni,3,1985-03-01,1985-05-05
1985,MAM,-0.8,roni,4,1985-04-01,1985-06-05
1985,AMJ,-0.8,roni,5,1985-05-01,1985-07-05
1985,MJJ,-0.5,roni,6,1985-06-01,1985-08-05
1985,JJA,-0.3,roni,7,1985-07-01,1985-09-05
1985,JAS,-0.2,roni,8,1985-08-01,1985-10-05
1985,ASO,-0.2,roni,9,1985-09-01,1985-11-05
1985,SON,-0.2,roni,10,1985-10-01,1985-12-05
1985,OND,-0.1,roni,11,1985-11-01,1986-01-05
1985,NDJ,-0.2,roni,12,1985-12-01,1986-02-05
1986,DJF,-0.3,roni,1,1986-01-01,1986-03-05
1986,JFM,-0.3,roni,2,1986-02-01,1986-04-05
1986,FMA,-0.2,roni,3,1986-03-01,1986-05-05
1986,MAM,-0.1,roni,4,1986-04-01,1986-06-05
1986,AMJ,-0.1,roni,5,1986-05-01,1986-07-05
1986,MJJ,0.0,roni,6,1986-06-01,1986-08-05
1986,JJA,0.3,roni,7,1986-07-01,1986-09-05
1986,JAS,0.6,roni,8,1986-08-01,1986-10-05
1986,ASO,0.8,roni,9,1986-09-01,1986-11-05
1986,SON,1.0,roni,10,1986-10-01,1986-12-05
1986,OND,1.2,roni,11,1986-11-01,1987-01-05
1986,NDJ,1.4,roni,12,1986-12-01,1987-02-05
1987,DJF,1.5,roni,1,1987-01-01,1987-03-05
1987,JFM,1.4,roni,2,1987-02-01,1987-04-05
1987,FMA,1.1,roni,3,1987-03-01,1987-05-05
1987,MAM,0.9,roni,4,1987-04-01,1987-06-05
1987,AMJ,0.8,roni,5,1987-05-01,1987-07-05
1987,MJJ,0.9,roni,6,1987-06-01,1987-08-05
1987,JJA,1.1,roni,7,1987-07-01,1987-09-05
1987,JAS,1.3,roni,8,1987-08-01,1987-10-05
1987,ASO,1.3,roni,9,1987-09-01,1987-11-05
1987,SON,1.2,roni,10,1987-10-01,1987-12-05
1987,OND,1.0,roni,11,1987-11-01,1988-01-05
