simulation,scenario,country,basis,loss_usd
289,super_stress,PORTFOLIO,climate_increment,201056738.05773363
290,super_stress,PORTFOLIO,climate_increment,238942377.4986384
291,super_stress,PORTFOLIO,climate_increment,155508702.0633416
292,super_stress,PORTFOLIO,climate_increment,-309463421.41633767
293,super_stress,PORTFOLIO,climate_increment,-8294166.816665895
294,super_stress,PORTFOLIO,climate_increment,1038713520.1516336
295,super_stress,PORTFOLIO,climate_increment,487399994.80744535
296,super_stress,PORTFOLIO,climate_increment,88121150.61692685
297,super_stress,PORTFOLIO,climate_increment,352722349.9543783
298,super_stress,PORTFOLIO,climate_increment,371225555.19507605
299,super_stress,PORTFOLIO,climate_increment,585946355.8771633
300,super_stress,PORTFOLIO,climate_increment,1163238397.4535553
301,super_stress,PORTFOLIO,climate_increment,388893049.8035312
302,super_stress,PORTFOLIO,climate_increment,557934376.6634079
303,super_stress,PORTFOLIO,climate_increment,850113593.8858811
304,super_stress,PORTFOLIO,climate_increment,86970589.48244031
305,super_stress,PORTFOLIO,climate_increment,194844253.9018746
306,super_stress,PORTFOLIO,climate_increment,1361969137.6877239
307,super_stress,PORTFOLIO,climate_increment,569226843.9736778
308,super_stress,PORTFOLIO,climate_increment,302270086.41928005
309,super_stress,PORTFOLIO,climate_increment,623145470.6320192
310,super_stress,PORTFOLIO,climate_increment,712608945.5899512
311,super_stress,PORTFOLIO,climate_increment,1079847070.470637
312,super_stress,PORTFOLIO,climate_increment,465172165.9359186
313,super_stress,PORTFOLIO,climate_increment,581731676.1677526
314,super_stress,PORTFOLIO,climate_increment,557468114.3181291
315,super_stress,PORTFOLIO,climate_increment,544210259.6528887
316,super_stress,PORTFOLIO,climate_increment,562749702.9360417
317,super_stress,PORTFOLIO,climate_increment,129199509.6045773
318,super_stress,PORTFOLIO,climate_increment,392229335.13465124
319,super_stress,PORTFOLIO,climate_increment,136693764.58564433
320,super_stress,PORTFOLIO,climate_increment,236837374.1804108
321,super_stress,PORTFOLIO,climate_increment,-61520179.9371732
322,super_stress,PORTFOLIO,climate_increment,923444451.3328366
323,super_stress,PORTFOLIO,climate_increment,328928375.30334586
324,super_stress,PORTFOLIO,climate_increment,123201760.90877189
325,super_stress,PORTFOLIO,climate_increment,894410384.0581005
326,super_stress,PORTFOLIO,climate_increment,499345401.692637
327,super_stress,PORTFOLIO,climate_increment,-66669587.310167216
328,super_stress,PORTFOLIO,climate_increment,305567945.4139803
329,super_stress,PORTFOLIO,climate_increment,368053522.5066464
330,super_stress,PORTFOLIO,climate_increment,124057241.01879409
331,super_stress,PORTFOLIO,climate_increment,918226883.6977483
332,super_stress,PORTFOLIO,climate_increment,834956777.4767727
333,super_stress,PORTFOLIO,climate_increment,388600863.03715754
334,super_stress,PORTFOLIO,climate_increment,500013317.7286664
335,super_stress,PORTFOLIO,climate_increment,348425670.3878815
336,super_stress,PORTFOLIO,climate_increment,394885768.8182756
337,super_stress,PORTFOLIO,climate_increment,226461830.35080063
338,super_stress,PORTFOLIO,climate_increment,451709531.28901345
339,super_stress,PORTFOLIO,climate_increment,355171973.56482035
340,super_stress,PORTFOLIO,climate_increment,844052234.1552763
341,super_stress,PORTFOLIO,climate_increment,-3567710.2430164944
342,super_stress,PORTFOLIO,climate_increment,442796775.31133527
343,super_stress,PORTFOLIO,climate_increment,234601221.22069004
344,super_stress,PORTFOLIO,climate_increment,530988958.946311
345,super_stress,PORTFOLIO,climate_increment,239876907.4030899
346,super_stress,PORTFOLIO,climate_increment,284793276.9735747
347,super_stress,PORTFOLIO,climate_increment,404236981.85064596
348,super_stress,PORTFOLIO,climate_increment,264436197.59047276
349,super_stress,PORTFOLIO,climate_increment,818367855.329304
350,super_stress,PORTFOLIO,climate_increment,23979920.01517168
351,super_stress,PORTFOLIO,climate_increment,811423442.6980382
352,super_stress,PORTFOLIO,climate_increment,166668309.9872828
353,super_stress,PORTFOLIO,climate_increment,305390351.33667284
354,super_stress,PORTFOLIO,climate_increment,561299762.0656805
355,super_stress,PORTFOLIO,climate_increment,449759376.0770813
356,super_stress,PORTFOLIO,climate_increment,45518207.611524664
357,super_stress,PORTFOLIO,climate_increment,334088726.9957611
358,super_stress,PORTFOLIO,climate_increment,787644150.2735054
359,super_stress,PORTFOLIO,climate_increment,480864566.8678693
360,super_stress,PORTFOLIO,climate_increment,352098788.72124463
361,super_stress,PORTFOLIO,climate_increment,573738321.2293382
362,super_stress,PORTFOLIO,climate_increment,831709698.5456625
363,super_stress,PORTFOLIO,climate_increment,414087395.7587735
364,super_stress,PORTFOLIO,climate_increment,324674178.76792717
365,super_stress,PORTFOLIO,climate_increment,806041778.7073889
366,super_stress,PORTFOLIO,climate_increment,324330319.4164345
367,super_stress,PORTFOLIO,climate_increment,559891480.7834829
368,super_stress,PORTFOLIO,climate_increment,440533309.75700366
369,super_stress,PORTFOLIO,climate_increment,194047329.16339007
370,super_stress,PORTFOLIO,climate_increment,901074278.5821519
371,super_stress,PORTFOLIO,climate_increment,511903526.2362469
372,super_stress,PORTFOLIO,climate_increment,844016104.9775126
373,super_stress,PORTFOLIO,climate_increment,923202667.1351342
374,super_stress,PORTFOLIO,climate_increment,901256607.6144713
375,super_stress,PORTFOLIO,climate_increment,581764250.5799458
376,super_stress,PORTFOLIO,climate_increment,406496465.88962847
377,super_stress,PORTFOLIO,climate_increment,410782915.13192844
378,super_stress,PORTFOLIO,climate_increment,504406085.9979579
379,super_stress,PORTFOLIO,climate_increment,362087926.12601066
380,super_stress,PORTFOLIO,climate_increment,473431599.76903784
381,super_stress,PORTFOLIO,climate_increment,848149763.1537408
382,super_stress,PORTFOLIO,climate_increment,623826917.2503569
383,super_stress,PORTFOLIO,climate_increment,179148365.08698902
384,super_stress,PORTFOLIO,climate_increment,812212427.2636402
385,super_stress,PORTFOLIO,climate_increment,477573774.5014608
386,super_stress,PORTFOLIO,climate_increment,887615457.4237745
387,super_stress,PORTFOLIO,climate_increment,623266781.8320602
388,super_stress,PORTFOLIO,climate_increment,644974022.8186306
389,super_stress,PORTFOLIO,climate_increment,130815935.44661659
390,super_stress,PORTFOLIO,climate_increment,1101043927.8474576
391,super_stress,PORTFOLIO,climate_increment,947940167.638159
392,super_stress,PORTFOLIO,climate_increment,207536400.01258963
